lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,EKO-C1-Cells_r1,EKO-C1-Cells_r2,EKO-C1-Cells_r3,EKO-C2-Cells_r1,EKO-C2-Cells_r2,EKO-C2-Cells_r3,EKO-C3-Cells_r1,EKO-C3-Cells_r2,EKO-C3-Cells_r3,WT-C1-Cells_r1,WT-C1-Cells_r2,WT-C1-Cells_r3,WT-C2-Cells_r1,WT-C2-Cells_r2,WT-C2-Cells_r3,WT-C3-Cells_r1,WT-C3-Cells_r2,WT-C3-Cells_r3,blank
PCo(32:0),0.06727126625897073,10.686366708070706,0.5811599023703042,0.4458580350595083,0.7454189023651154,720.6 -> 184.1,PC,15193.1610946685,12816.9208602956,11578.7208099379,13481.801002505,13141.1609497164,13237.2009048604,14595.6611557145,12260.0208053583,12668.9808158788,12830.080745699,11028.9808463927,12671.9008483993,13559.2009582465,12691.2808151192,14023.4809837246,11142.5808830274,14580.7809448053,13125.8409233115,4154.520263672
SM (d18:2/18:1),-0.06537234598890082,8.725999643230661,0.5416242836386971,0.46176034916601216,0.7660210443529194,727.6 -> 184.1,PC,2948.8002090442,2956.8002052303,2835.8601875321,3802.3002395613,2747.2602272025,3250.6002502448,3749.5002861013,3208.8602256781,3441.5202674875,3036.6602172852,2979.5802116385,3642.8202552786,3632.2002296437,3734.720264434,3992.1602630617,3850.9802513122,2899.4002113337,3178.160243989,1281.7000923161
PC (38:8),0.06412703859238449,8.048568467744975,0.5150841456472364,0.47294621220655503,0.7785422262477136,802.5 -> 184.1,PC,2015.8601341246,1856.540122986,2292.0801506051,1975.9801445001,1797.5001182562,1754.860134124,1770.4001197806,2299.2801628112,2277.1601600646,1917.1001548769,1460.1400909429,1653.7001152042,2028.7401351924,2560.0201721192,2219.9601593016,1723.5601234433,1908.9201164247,2235.5601921071,1868.3601455672
PC (36:7),0.06073681573840081,8.187827447604041,0.4635479728545917,0.4959704747716276,0.804414828401843,776.5 -> 184.1,PC,2415.9601783747,2283.0401763901,1941.6001319881,1959.7401275642,2366.2601814266,2214.7601623536,1972.2801322943,2521.2402114874,2635.3802108767,2565.7401618962,2365.9001655595,2228.5801620464,2493.260189057,2389.8401298512,2225.7201461781,1833.1401214589,1988.9401512157,1764.2401313783,1541.4600982657
PC (38:1),-0.060363737897619694,9.049578964070117,0.46309489873774634,0.4961811091076789,0.804414828401843,816.6 -> 184.1,PC,4062.5802879324,3868.0402641282,3613.3802604677,3908.5602188097,3974.4403076155,4501.3003273007,2850.6202278141,3695.7803077689,4003.9802207947,3772.2602233886,4228.5802955645,4145.160297394,4181.440311433,4243.9802360546,4199.2002868665,3776.3803024287,3738.0402336142,4279.4602775583,4048.800292968
Lyso_Sphinganine-1-phosphocholine,0.05973782567585351,7.569868375022098,0.4420658211285122,0.5061270531364471,0.8066611604686179,467.3536 -> 184.1,PC,1452.0801162719,1491.0800895687,1186.3800735475,1412.8201141362,1425.2401046749,1222.1600837707,1610.6001243582,1591.320114136,1676.0801086434,1332.3200988767,1382.4800987244,1475.220127106,1510.8601112363,1380.7401046751,1304.560081482,1366.0800781246,1734.5601234441,1291.4800910948,1178.6400909426
PC (50:0),0.05972053846920644,7.194302537426242,0.4363796684491703,0.5088750311367449,0.8066611604686179,986.9 -> 184.1,PC,1127.3800811768,1163.7000732418,1086.460079193,1121.1000785827,1085.1200790404,1166.0400810243,1068.6400756836,1073.1600761413,1068.5200805662,1068.8800735471,1085.2800750732,1091.3400764468,1065.000072479,1061.5000724791,1092.3200798035,1066.980079651,1140.9600830077,1055.5200767518,1059.4600715638
PCo(44:4),-0.05977309383887026,7.365351726355652,0.43970754259822886,0.5072636458670665,0.8066611604686179,880.7 -> 184.1,PC,1146.3800849911,1185.3000793456,1102.9400749205,1201.9000854493,1205.3400878904,1376.3800926212,1133.7600784302,1174.4000930784,1242.4400939942,1324.6800956725,1238.2600898741,1207.4200744626,1224.8600807191,1438.620101928,1208.3200836181,1310.9201049804,1271.2000923156,1215.8000907898,1181.3400993342
PC (40:5),-0.057433076024303205,9.35647764268622,0.42072326265073023,0.5165763707468612,0.8128481127928552,836.6 -> 184.1,PC,4910.4803504929,4523.320270538,4798.0203781122,4877.2203598018,4650.9603500353,5615.2204055805,5285.5803337092,4979.740375518,5626.200420378,5177.3803749072,5403.6203956597,4436.5003051751,6431.8004798916,5828.560432433,5944.4804115296,5068.4803390513,4790.4803543115,5130.1804008481,1580.840114593
Lyso_PC(17:0),0.05347400369089153,7.6399530352578875,0.35442525883411946,0.5516187248036875,0.8196207749205552,510.3481 -> 184.1,PC,1469.6400985722,1553.0801162722,1411.2600975041,1599.7201042174,1512.6001129149,1431.5001068118,1498.0801048287,1303.7400856018,1456.5801048277,1429.6401023873,1292.2801055911,1512.8401031484,1399.4400978092,1372.0001068116,1503.9001007073,1493.5200958251,1398.1200942992,1579.9201049797,1821.1601409909
Lyso_PC(18:3),-0.05308467153149533,7.458724669195752,0.3478186838582884,0.555350525062993,0.8196207749205552,518.3168 -> 184.1,PC,1168.6600875851,1391.7801055904,1209.1800880434,1364.6200981141,1221.8600883483,1365.7000999451,1173.0000877378,1345.3200988767,1265.0200767512,1107.4000892638,1254.3200874328,1271.420074462,1418.3600959777,1458.2400894173,1398.1000900267,1420.6801071174,1620.2201271064,1239.760101318,1267.1400909421
Lyso_PC(22:2),0.055774614943579146,7.6199663789632774,0.38587022867407406,0.53447821243431,0.8196207749205552,576.3951 -> 184.1,PC,1875.0601234446,1502.3801040644,1652.2201118476,1439.2200965876,1486.0801086428,1344.1200981141,1365.9800987245,1425.280109405,1422.9001159667,1595.8201179499,1623.0801048285,1360.8200874329,1643.800117493,1349.2201042171,1442.2801017768,1645.2601356505,1206.2600822448,1359.6000785834,1251.6400833125
Lyso_PC(24:1),0.056056991268355345,8.68126067619323,0.39803600999990607,0.5281052899887075,0.8196207749205552,606.442 -> 184.1,PC,3398.8402366634,3142.7801933285,2745.6002120972,2586.480186463,3452.7002372745,3290.1802406313,3346.4402503977,3176.3802375794,4046.5802764898,3306.400211333,2965.140251161,2865.7601890565,3768.2802963267,3368.4402122481,3506.6202354436,2976.8002052307,2715.9401969924,3224.3802375806,1362.3801078793
PC (40:8),0.05322735994143526,7.743348409313857,0.3525124353621578,0.5526943354921098,0.8196207749205552,830.6 -> 184.1,PC,1697.5000877378,1793.9401245115,1507.5400810238,1511.5401077272,1235.7800827026,1632.0401268015,1908.3001251227,1644.5001068125,1720.6001319884,1557.9001121525,1454.4001007084,1485.2601089483,1760.600124359,1424.1801109308,1434.1600914008,1814.9601287845,1846.5001335139,1620.0001335148,1393.2800941462
PC (42:1),0.053266175075826955,7.55147226517225,0.35137079706337637,0.5533381789908974,0.8196207749205552,872.7 -> 184.1,PC,1801.0001296992,1236.9400825502,1542.400104523,1283.5801048283,1429.5201034542,1500.840103149,1410.4201011655,1325.5400962828,1421.600093841,1392.3201065072,1432.2000999452,1198.6600914,1262.420078278,1511.560119629,1367.1400985719,1578.3401222224,1463.3201026919,1494.0201034559,1100.8600807189
PC (44:10),-0.05361920730076076,7.425111677806489,0.3545760683437429,0.5515340895248237,0.8196207749205552,882.6 -> 184.1,PC,1275.8400917046,1238.4200859072,1182.8600807186,1235.9000778197,1093.7200736998,1207.6800956728,1362.0801010131,1336.8000907891,1368.2000885008,1206.3800811768,1408.320091247,1201.3800811768,1269.8800926207,1271.8000869752,1522.4001121525,1499.06010437,1309.6800956723,1275.1200866697,1145.7400817868
PC (44:6),-0.05596849584203458,7.345213025709965,0.3853580274620332,0.5347495682828521,0.8196207749205552,890.7 -> 184.1,PC,1219.3000869749,1151.9400749203,1221.3000793456,1259.8600959777,1122.6600799558,1228.9800987245,1198.6800918579,1150.1400794982,1142.9800834655,1241.5200805662,1206.2000923157,1286.3200874332,1236.0600891112001,1196.2200851439,1203.9800796505,1316.6001052858,1294.400096893,1332.7800903324,1079.8000717161
PC (52:0),0.05344068971328134,7.133673496157781,0.34854103103357126,0.5549401811438595,0.8196207749205552,1014.9 -> 184.1,PC,1037.5200729368,1112.2600746158,1025.2600746153,1059.1000785827,1026.2400665283,1021.0800857541,1123.880073548,1035.4000778197,1023.3200798034,1010.1800651549,1056.1600837705,1022.2000694275,1016.6200752256,1013.6400718688,1028.620071411,1088.6400794981,1020.3400688171,1033.6800689698,1088.6200675965
SM (d18:1/12:0),0.05204272280337128,7.674645598288948,0.3364380909008009,0.5618924746903304,0.8235958190666488,647.5 -> 184.1,PC,1393.7201042173,1623.0601310734,1331.2800827032,1442.0401000979,1647.1401290898,1552.0401153559,1727.7601280207,1509.6001014711,1777.9601440422,1495.7401123044,1409.1001052857,1810.7201156615,1640.6401176462,1275.0400886537,1573.0401153566,1443.2000923156,1409.7000999451,1692.440120698,1274.8200950624
PC (44:7),0.05163841235945019,7.327429267053718,0.32776153757622417,0.5669801582022028,0.8253996860902817,888.6 -> 184.1,PC,1178.6800880431001,1292.0400848391,1145.9400749207,1215.7600784303,1152.1400756835,1180.2600936887,1200.4200820923,1247.0000839234,1276.6800956731,1253.3000946041,1158.4200897218,1172.1000823975,1236.5800895691,1164.6000823974,1181.3400840759,1185.9600830079,1229.3200836178,1128.6800842284,1155.9400901793
PC (44:1),0.050982735920785074,7.346730692971756,0.3195665857919998,0.5718682274831939,0.8268905451446182,900.7 -> 184.1,PC,1335.8600883483,1197.2200813294,1156.3400840761,1248.2800865174,1233.4400787351,1254.7400894163,1218.8600883484,1227.9800758361,1086.3600769044,1139.4800796507,1253.4600906369,1234.0400848394,1167.6400909421,1223.2000808714,1115.0000724792,1161.0400772094,1131.7600746154,1323.9000854491,1290.9400863647
Lyso_PC(3:0),0.04971916534019265,7.513147581765369,0.3055784626582163,0.5804061770714221,0.833603502639492,314.129 -> 184.1,PC,1448.3801078799,1346.4000892641,1301.7800865174,1510.5001106264,1452.6801223754,1190.7000770569,1481.4601058954,1344.7201042178,1305.3600997922,1251.5200767521,1515.6201019293,1472.8600997931,1305.2600898737,1336.6800918577,1264.9600906373,1338.2400894162,1195.6000823976,1473.2600936902,1325.3201065063
PC (38:3),0.047885322105609036,11.890716903460266,0.2952521625358031,0.5868743131969887,0.8372740201610372,812.6 -> 184.1,PC,31538.822090145,31483.402374268,27871.561698919,34871.342079159,33602.3224945149,29520.402366639,29483.3022613605,29217.1223297083,28551.501747119,27722.801643361,28277.2021255552,26027.8619537371,34603.6424179016,37880.602363592,32708.3022460815,26937.9818344169,30587.3825530884,28417.9217948979,4873.6803550732
Lyso_PC(22:1),0.0476647499603099,7.99719451128451,0.2844722103775261,0.5937848418175626,0.8415228884036979,578.4107 -> 184.1,PC,2099.6601524352,2170.5201721193,1653.5801315298,1938.3601341254,1782.1801376341,1809.7401542653,2369.5201835641,2170.0201377864,1765.9601325982,2455.360176086,1521.6201171875,2017.1001358037,1946.1201286316,2026.1601600646,2112.5201683045,1712.6601219178,1945.9601440433,1785.0601425191,1289.4400978087
Lyso_C17 sphingosine-1-phosphocholine,-0.0464270488506273,7.304145256928058,0.2647238833191192,0.6068931998045439,0.8488571552821725,451.3223 -> 184.1,PC,1105.8000755307,1166.9600830078,1125.2400779726,1229.9400863648,1177.3200759893,1104.7200813291,1193.4400825494,1053.0200767517,1186.7600936886,1135.0800781248,1317.3001060488,1134.0600891114,1173.2400894167,1288.4400863642,1196.440093994,1359.9001045224,1243.7200927741,1042.4200744628,1155.9200897217
PCo(36:5),-0.04608024435006417,8.282465183850222,0.26735654710322976,0.6051105603387329,0.8488571552821725,766.6 -> 184.1,PC,2698.0802001945,1834.7001190185,2081.0201759354,2088.5401458751,2491.6201667792,2478.1801567078,2661.1602096548,2306.8001480107,2536.9401817315,2375.2001876835,2240.8001556404,2405.7001724249,2824.5201988224,2582.6802062983,2847.8201942456,2134.8601264965,2513.8001632688,2389.4801635735,1307.500095368
PC (42:6),-0.04332088999681787,7.946150615011649,0.2347421228511033,0.6280296930066475,0.8727165863858607,862.6 -> 184.1,PC,2219.0001716615,1764.3401260376,1498.0800895694,2034.580139161,2342.8201522818,1756.6201133736,1633.8401145928,1838.3001518237,1568.3401107789,1867.5601348866,1775.6801261894,1866.0801162725,1960.2601394659,2013.0601463322,2082.780158998,1993.4401588431,1994.2001495354,1885.2801399221,1265.7800827023
Lyso_PC(19:1),-0.042388579312110486,7.3515624673146664,0.22091319718578717,0.6383449871757056,0.8753230407037225,536.3638 -> 184.1,PC,1181.3600807191,1222.380088806,1140.0200881961,1141.3800849913,1101.320083618,1132.7000808715,1172.5600814824,1289.7001075749,1205.9200782776,1191.4400825496,1201.2400779722,1062.7800750731,1177.1400756837,1371.9401054384,1346.820091247,1363.8800964354,1187.5000839231,1232.1400871277,1345.6800880439
Lyso_PC(20:5),0.040962764862999206,8.122460866656533,0.21063961189727465,0.6462665440709727,0.8753230407037225,542.3168 -> 184.1,PC,2205.7601699843,2165.7201232925,2352.8201599118,1891.9201469415,2294.7601623528,1862.9801330564,2390.6202049246,2341.4401588444,1868.980129242,1949.6401481636,1795.8401374823,2213.2801361098,2646.6801719675,2313.2401580817,2105.8801689164,2018.7001571655,2041.4601211549,2176.4601516731,1313.3400955198
PC (44:0),0.04291297279713896,7.248004605054431,0.22571811436609135,0.634717120390595,0.8753230407037225,902.8 -> 184.1,PC,1154.1200790404,1122.3000717163,1111.6600837705,1072.9000778198,1088.5400772095,1155.0800895687,1245.5600967404,1216.6400794982,1075.4000663758,1088.8400764467,1071.3200721738,1073.5800704957,1155.420085907,1076.5600852966,1109.3600769041,1218.7800903326,1237.0200805663,1102.4400825502,1137.26007843
PCp(36:5),-0.04090750945948199,8.5011390811825,0.21139579269798148,0.6456755888730752,0.8753230407037225,764.6 -> 184.1,PC,2914.8001594542,2705.2801628115,2415.5001564017,2436.0601692192,2805.0602149957,2749.2401809706,2866.3801956185,3333.9802513132,2348.4601554856,3015.9202232368,2551.0202026353,2569.5401954649,2909.2802314758,3149.1402511603,2552.960193635,3167.3802108775,3034.2402000438,2816.1601867672,1663.080127716
PC (42:8),-0.03946480935928908,7.567692372659939,0.19296198907576745,0.6604627290847024,0.8758398426551196,858.6 -> 184.1,PC,1478.3000946044,1247.2800865174,1562.0201110835,1409.6200981148,1376.6800918576,1558.38010025,1425.0001068115,1219.6600875851,1372.9201049808,1642.360118866,1432.6400947575,1318.1801033018,1410.2000961303,1823.8401260381,1630.7401237478,1226.3200874327,1338.6000976563,1459.1401023867,1135.1600799561
PC (48:0),0.03961945681525064,7.221885411594974,0.19224225839759246,0.6610569210037306,0.8758398426551196,958.8 -> 184.1,PC,1142.7800750729,1118.7200813291,1124.8600845337,1099.0800781248,1095.0000801085,1093.2000770568,1210.840080261,1067.9400711059,1109.6800765993,1113.6200866699,1087.3000755312,1084.3200759887,1199.1800880427,1086.2200813294,1101.3200798034,1113.5800781247,1090.4000778195,1105.6600837708,1096.7200813294
PCo(34:4),0.03933366953924624,7.952872988971893,0.19354216520918044,0.6599847115539836,0.8758398426551196,740.6 -> 184.1,PC,2076.2601394657,1925.1801567073,1698.7801208489,2002.4201545719,2136.9801445001,1403.5601043707,2009.3401565559,1974.1201210022,1911.6601448054,1999.4001426678,1661.3401336659,1422.8200950621,2306.0601501469,2407.160190581,1508.9001007081,1797.800117493,2013.6001472468,1945.340118409,1298.9200935361
SM (d18:0/24:0),0.03891389724242416,8.122945493864965,0.18987707535767662,0.6630189463090157,0.8758398426551196,817.7 -> 184.1,PC,2113.1601371756,2138.8801307682,1810.540126801,2566.8801803577,1871.2801361086,1831.4801254277,1546.5800971982,2514.6801605241,2220.4601516724,2046.920139314,1999.8801612865,1859.4001121523,2153.4201393136,1828.1401252735,2032.5601463301,2163.680160522,2145.9401473994,2205.4601440435,2306.9801673888
Lyso_PC(11:0),0.036941249451950015,7.438106273901794,0.168276796264343,0.6816478360285124,0.8774209216271716,426.2542 -> 184.1,PC,1373.6200904839,1215.5200767519,1228.1400947566,1328.9800872803,1115.2800865171,1400.480113983,1368.3400955205,1308.8401031497,1274.9000930784,1317.1600914,1135.7400779722,1227.2600784299,1442.4800872805,1294.500091553,1147.5400848389,1313.7200965882,1334.6200904843,1325.3200874328,1370.0200881962
PC (34:0),0.03479178299083812,12.339954328197148,0.15594618953889494,0.6929165222195888,0.8774209216271716,762.6 -> 184.1,PC,40906.4432906984,38843.683410636,37294.322570799,46412.543304451,43023.303207404,44984.123580932,43034.4830169614,40963.102066054,38481.762344348,40214.702835084,37098.1428070202,37663.9821166869,46648.282943724,46093.643447886,47566.523422252,40711.6634025578,38453.7428131145,38514.282478343,8230.9204902642
PC (34:1),-0.03509981823668576,15.893448854442108,0.15892819096916355,0.690145228121025,0.8774209216271716,760.6 -> 184.1,PC,505178.85852033,455688.10729994,416809.19287104,524119.95361329,508926.80078132,508810.85424823,480892.92846671,468481.45678727,459335.1340333,472662.03283682,448857.09289544,450499.51123048,591446.60351572,579806.10791009,560664.65978991,476310.67297341,483939.70983889,467258.82922367,46707.243446354
PC (40:1),-0.036873271854207856,7.762044543247235,0.16922580323224246,0.6808007792813221,0.8774209216271716,844.7 -> 184.1,PC,1728.8801078794,1722.1401023865,1442.9000968939,1757.780143739,1225.5200881955,1672.260112763,1611.4801216121,1530.5201072694,1623.4201049807,1438.3000984189,1603.5000991827,1324.480110169,1876.5201263422,1784.2001457204,1645.5201148987,1784.2001304625,1645.4401206976,1887.600139617,1537.4201049805
PC (42:0),0.03810557945768255,7.361020252866137,0.1786414388863946,0.6725433753260894,0.8774209216271716,874.7 -> 184.1,PC,1134.3000869749,1090.9800720214,1225.1400756835,1496.380111694,1237.5600967402,1215.4000816344,1190.5000915525,1241.2800941466,1208.4000930787,1268.0000915526,1197.5200767517,1169.1400871276,1204.3000793456,1336.4400939944,1266.8600807187,1135.2200851441,1326.6000900274,1065.8200721741,1257.8400917051
PC (46:2),0.03690760842978292,7.268991992432203,0.16710090138718492,0.6827012863254094,0.8774209216271716,926.8 -> 184.1,PC,1085.2600822446,1098.8800697326,1192.1800804137,1240.0000915523,1189.1400833129,1106.360069275,1092.460079193,1288.3001098635,1100.4200820925,1136.3400840759,1177.8600807192,1116.7800750731,1198.8000793455,1073.4400711062,1092.3000793457,1148.340072632,1246.7200889587,1129.6400718687,1123.5400848387
SM (d18:1/18:0),-0.0351788229594739,13.74609933834418,0.15957805747018483,0.6895452863353332,0.8774209216271716,731.6 -> 184.1,PC,115651.789703314,105651.227401805,96955.00717169,118992.110214227,114785.547668342,110050.84655772,108471.028183008,103485.028411714,101302.687683072,104383.087982264,103093.107849126,97746.067443834,130210.728729403,129993.688446142,126446.069641073,107177.34848029,111783.827453587,110233.807754509,12491.0408744635
PC (46:1),0.034617356882325256,7.246797018488414,0.14686181289674982,0.7015525442707047,0.8831308498466518,928.8 -> 184.1,PC,1126.8200759888,1113.9000816345,1219.380088806,1166.2800827026,1082.6200790405,1182.3200798032,1082.9400787354,1085.1400794983,1122.7200813291,1153.1600723268,1114.8200798034,1141.6200752257,1148.2200851439,1075.2000770569,1108.6000900267,1146.3200912473,1117.7800788878,1119.4200859068,1164.1600761415
C22:4,0.032158433767123865,11.796369312358934,0.13313147913882517,0.7152070557337565,0.8950544440176836,331.3 -> 331.3,FFA,28463.5019989019,24914.8217849775,24700.0018386798,28750.6420364341,28883.302070617,28748.7820358256,24215.9417076104,27720.8818283061,27613.7819595345,26626.7218322735,26269.7418632519,26060.2417297399,27989.8219985905,26961.001914976,28379.6619033876,27686.1619110088,27535.9219245912,25443.0818634054,20940.6414222699
PC (44:4),0.031517059747661974,7.287407860917972,0.12196578029047567,0.7269121451691752,0.9044139480593226,894.7 -> 184.1,PC,1388.8001022342,1078.380077362,1122.1000785825,1180.4400978089,1154.4000778197,1183.9000854492,1151.3000831603,1154.3800811768,1166.7200737,1314.8001098635,1134.1200828552,1115.9400672913,1120.7400741575,1103.9600715636,1219.7400932309,1199.300086975,1203.9400863647,1112.6600761413,1074.0600814818
Lyso_PC(13:0),0.030334017902029956,7.454960686767948,0.11354967644872538,0.7361385136720737,0.9053657581943895,454.2855 -> 184.1,PC,1490.0001029966,1274.1400756841,1246.2000885008,1263.7600860596,1222.4400787356,1459.8001022347,1365.8001098625,1196.9200935363,1270.9001007079,1264.4400825503,1341.5601005553,1225.8600845338,1274.0400848391,1308.7200927736,1531.6001052851,1320.4400978085,1203.8400917053,1286.4000930778,1315.5201034554
Lyso_PC(17:1),-0.030623979376469594,7.446494525606211,0.11571408926902471,0.7337302131321723,0.9053657581943895,508.3325 -> 184.1,PC,1259.3200988773,1269.1600952146,1366.6001052866,1227.7000923155,1398.6200866704,1121.6600875855,1197.9000778199,1292.4400901789,1370.2800979613,1112.7200736996,1342.3000946036,1394.1201095579,1355.2200965878,1340.4200935363,1212.4400863646,1311.500102997,1522.7001075736,1382.700096131,1236.9400978088
Lyso_PC(5:0),0.028634836658548716,7.524924387969871,0.10139196446305476,0.7501655737292126,0.9118779909831592,342.1603 -> 184.1,PC,1296.1401023862,1145.720088959,1357.7601013179,1591.0601310725,1589.1801147464,1306.3401031492,1511.1201057437,1252.5200881952,1308.5201034546,1446.6401176443,1297.0200805662,1414.0600929258,1260.1400909426,1493.9601097103,1478.6201171877,1490.3201141352,1161.1600875854,1305.2401046745,1374.2000923164
PC (34:6),0.028003061025899157,7.923976574406223,0.09802159238954289,0.7542168430094355,0.9118779909831592,750.5 -> 184.1,PC,1865.8801345825,1863.3801536547,1394.9201087947,1839.8401527412,1529.6600952153,2083.5401344314,2058.4201431263,2011.8201255804,2028.7001533498,2106.8001670841,1737.6801261899,1752.3601226809,1913.5201225286,1752.1201210023,1755.3401107795,1949.320117949,2111.8201675412,1577.3401184078,1342.5800895687
SM (d18:0/12:0),0.028743060151421005,8.285483320032245,0.10403561773272685,0.7470394525938591,0.9118779909831592,649.5 -> 184.1,PC,2548.2801704414,2476.5001831042,2424.0001716596,2469.3801612855,2131.9401359548,2123.7201271059,2520.1801795959,2994.0402832037,2114.3001480111,2661.3201713566,2229.9201698305,2317.8401832584,2394.760192872,3056.0602493279,2517.6201782222,2277.160175324,2267.5201339721,2123.4001426699,1243.2200736995
SM (d16:1/18:1),0.02712900945972903,9.488613775515763,0.09396130192249341,0.7592003209077286,0.9127464532261457,701.6 -> 184.1,PC,6377.5004348746,5262.520362854,5096.0003128038,5615.680358887,5374.5403099079,5757.5004844658,5929.7603988645,6201.8204917933,5060.7403755178,4808.44039154,5787.9804077159,5272.4604072557,6328.7203865056,5917.4403533927,5622.1003494256,5872.0403556814,5748.2804756155,5320.4003486633,2382.4401588444
SM (d18:0/20:0),-0.024080964750553484,14.47046297607139,0.0747921812800314,0.7844830404877897,0.9378735791306536,761.6 -> 184.1,PC,194156.192870944,169511.231872663,161776.850402863,192799.272582964,193227.89123528,186684.511962825,178479.911132736,173410.832214369,169176.329986599,180574.873351849,163304.873535148,169139.710266154,220265.715331918,212804.795043877,207724.953857396,180366.030548184,179747.495239225,168199.572814884,19020.1812019292
PC (46:0),0.02369964080906597,7.241058954887022,0.06882436381469903,0.7930562579223479,0.9428557733076803,930.8 -> 184.1,PC,1210.9400939943,1124.240070343,1111.3800849911,1113.2000732423,1155.9400863649,1124.7000732423,1079.5000762938,1112.500087738,1085.0800743102,1111.4800720214,1086.2000808715,1186.7000923156,1107.6600761415,1105.3000831604,1166.0800857544,1154.5800781252,1087.5400772095,1121.5400772095,1156.5200881956
Lyso_PC(18:4),-0.021562721008770772,7.2846860404761475,0.05705386564511272,0.8112145229663918,0.9511918615605198,516.3012 -> 184.1,PC,1164.8600921629,1219.5000991822,1157.94008255,1058.2800750733,1028.3400650024,1111.3000755309,1240.3000755308,1164.4000854492,1102.5400848386,1146.7200775147,1158.1800804137,1168.5800857542,1183.2800903324,1053.3400650025,1157.9800834655,1188.920085907,1251.6000900268,1284.4000854499,1195.5400886536
PC (32:0),0.0211844347001418,14.326988615831587,0.05787997813467882,0.8098786522868302,0.9511918615605198,734.6 -> 184.1,PC,175089.231201272,157523.071899393,145658.247924901,176838.193969603,171039.032287548,163161.932556229,170928.950256485,166064.471374575,159865.371581904,153998.011779773,147617.370727529,146048.271850502,189157.152770772,191276.431823528,189547.091980115,161252.591125527,161568.192321734,156630.191711391,19829.7414550925
PC (42:10),0.02070387009645786,7.537915862818883,0.05304487918113843,0.8178472080707273,0.9511918615605198,854.6 -> 184.1,PC,1458.9001007077,1252.9600868228,1179.3600807192,1305.02009964,1265.2201004025,1327.7600860599,1512.6601181028,1710.8201141359,1530.2601127621,1311.6800880433,1478.6601028443,1162.8200874329,1504.0801124571,1373.7600936896,1473.3001060487,1493.6401138296,1231.4800834655,1583.5001068124,1247.7000961304
PC (42:5),0.020933182822232888,7.941437842700992,0.05480529708507831,0.8149032221678506,0.9511918615605198,864.6 -> 184.1,PC,1865.2201156621,1603.1601142883,2101.5201454168,1626.080112457,2227.5201911919,2157.3401794438,1583.0201148988,1918.0001373286,1837.2801322948,2045.0201377868,1820.0401267999,1758.0801315293,1971.4401321408,2075.8201217636,1905.2201576227,1689.5801239017,1973.6201400751,1776.7001190191,1250.2800865176
C34:0,0.018773341691498014,11.347141097595522,0.04533470025066322,0.8313897765431165,0.9617157415147402,507.5 -> 507.5,FFA,20000.4214134255,18220.2812538166,20182.7414741551,20269.7614479108,20804.3614540088,19701.82141876,18117.6212539679,20301.4014320408,20030.201438902,20447.1415519692,19207.741321564,19443.7013435382,19675.7013778691,21265.6014747603,20468.1814498871,19022.361335754,19945.061420442,19267.3413543697,15378.2811698904
Lyso_PC(17:2),-0.01680498940200241,7.273954799183543,0.03464290275882487,0.8523459217531499,0.9685882478258733,506.3168 -> 184.1,PC,1102.8000869749,1181.4200782779,1115.2800865173,1143.020076752,1026.5200653078,1120.3600845339,1104.380077362,1186.2000846861,1204.8000869754,1113.6400833128,1170.4000816342,1087.7000732422,1323.7401046753,1137.0800819395,1164.9000816346,1164.7800903319,1192.060089111,1162.5800857538,1191.9600868227
Lyso_PC(20:2),-0.01729552654247146,8.024093867417934,0.03747975450825791,0.8464915361911459,0.9685882478258733,548.3638 -> 184.1,PC,1652.620128632,1785.6001243589,1950.2801284799,2283.7201805111,2129.7601585399,2313.5401306147,1917.260143281,2042.0401496878,1670.3401145931,2103.7601470951,1642.8001136773,2393.9401626595,2252.5801506038,1831.4401206966,2366.8001594541,2188.2401580804,1550.5001106259,1968.9401321405,1244.6000823971
Lyso_PC(21:4),-0.017154889528552323,7.678307799949846,0.036555463159048784,0.8483729536769382,0.9685882478258733,558.3481 -> 184.1,PC,1522.5401153575,1327.4800949104,1401.0600891116,1373.4600944515,1684.3001327507,1382.5401077269,1488.580104828,1723.2001228339,1722.3601226797,1426.7400970459,1764.2801399239,1558.0401077274,1645.1801109308,1671.3201179503,1993.8201446533,1373.9001083376,1500.2401123054,1154.9000816345,1397.200115203
Lyso_PC(4:0),0.01638224926099626,7.538597620489055,0.03319236281212934,0.8554354151359348,0.9685882478258733,328.1447 -> 184.1,PC,1528.4601058965,1217.6000900273,1446.5401000976,1496.2601165773,1312.7600860594,1209.2800903322,1400.4400939945,1417.0200958251,1330.8800849917,1415.720096588,1395.5800971985,1243.0200920104,1361.2601051333,1409.4401168827,1343.7201004026,1217.1400794981,1491.2800979607,1569.4600982657,1472.6401100161
C32:0,0.009520835916103476,11.724397871675853,0.011668227401600006,0.9139801687977027,0.9730933140433253,479.4 -> 479.4,FFA,28284.2021293581,24500.3416976929,24941.021808618,24074.4016418456,26676.9018478393,27452.5618553142,25147.8418388338,24942.6817626929,25413.9818038931,26408.9218940752,27360.7618560763,26028.0019302349,24525.2617835984,26798.3820190439,27297.5620346034,24166.1017608649,25359.1817932118,25939.8419342062,18435.8812904344
