lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,EKO-R1-Media_r1,EKO-R1-Media_r3,EKO-R2-Media_r1,EKO-R2-Media_r2,EKO-R2-Media_r3,EKO-R3-Media_r1,EKO-R3-Media_r2,EKO-R3-Media_r3,WT-R1-Media_r1,WT-R1-Media_r3,WT-R2-Media_r1,WT-R2-Media_r2,WT-R2-Media_r3,WT-R3-Media_r1,WT-R3-Media_r2,WT-R3-Media_r3,blank
PC (38:4),0.15608519872737417,8.355795191771547,5.637587591412576,0.017579379482144487,0.06947891270443772,810.6 -> 184.1,PC,3460.0002555838,3428.5802230848,3787.4802932748,3794.8202819811,3769.7002220158,3582.0602684023,3476.1602134722,3411.1603050231,2590.6601982112,3610.0402412416,3005.4602317805,3052.6202201846,3362.1801986684,2797.0202140812,2868.600177765,3365.160278321,5126.9003601079
SM (d18:1/20:0),0.15471888918625284,9.022868560453567,5.610150437563995,0.017856729900673246,0.06947891270443772,759.6 -> 184.1,PC,5269.2003669737,4136.040294646,6542.1605072024,4740.560337067,4799.240333556,5576.9003868101,6020.3204421998,6969.7804183956,4799.3603172332,4183.8603172311005,5051.9003334054,4527.3602943406,5099.5603103641,5055.0803642272,4532.1202926644,4599.2403488157,11250.0007553173
PCo(42:6),0.15709934676795495,7.021750343893957,5.427322270714209,0.019824053831237996,0.07575620571223092,848.6 -> 184.1,PC,1448.0000991821,1333.7001075743,1359.7401008601,1492.060089111,1284.5800895689,1465.1001052859,1660.5801353455,1710.1801147466,1377.9201049808,1349.1000976567,1266.4000968933,1137.0400848389,1212.0800895692,1254.5600967409,1128.9800682068,1352.9600982661,1308.8400802607
C24:0,-0.14732528626041916,13.764448792683586,5.207236790160948,0.022493055877014202,0.08444761329264981,367.3 -> 367.3,FFA,154458.310211209,148995.690658561,154263.691284154,149216.230453499,145958.49053189,146115.270126325,142656.75001524,137198.55010988,154722.250999435,149923.270626094,177777.592132518,178770.512077345,174660.272190117,144832.490997317,135881.109367365,134375.829467767,41301.702835082
Lyso_PC(20:5),-0.15084137587649385,6.864077868335089,4.953620203455882,0.026036094046794973,0.09606420906920904,542.3168 -> 184.1,PC,1221.1200790403,1250.760089874,1150.2600746149,1137.6000785828,1131.5000686644,1176.2200889585,1193.6600875854,1140.960079193,1197.3200950625,1157.2400779724,1320.0200996399,1453.7600936889,1288.3400840759,1197.760074615,1163.5000839236,1215.9000930789,1313.3400955198
C14:1,-0.14249764328932082,12.884474807999405,4.868231755740908,0.02735551684382515,0.09922170516234885,225.2 -> 225.2,FFA,63146.384338359,93327.926803585,55413.484001146,60951.564392061,83910.845779403,67525.665100074,94068.40696714,115152.208175666,62776.084579471,84074.525955187,70718.0849990722,74361.945754988,82233.885665894,65915.084594712,95874.566818234,131563.269195589,40406.66294861
C22:4,-0.14004992746846198,11.423613092181649,4.6896833487863105,0.030344238863431305,0.10822778527957166,331.3 -> 331.3,FFA,28691.2419281032,29682.8620758027,27221.8818817152,28169.061935425,27991.7419319157,27912.4419326789,30913.2621841415,26933.6819648666,30872.7421951283,29906.5821075476,31374.9422836336,30662.3222274751,29785.2020950307,30093.7621078477,27808.0021057164,29468.2821655265,20940.6414222699
C30:0,-0.13736490282548533,12.709644707100503,4.52319933991771,0.03343824620588842,0.11730794570590364,451.4 -> 451.4,FFA,80264.4055099237,81013.7457465877,73013.165416679,71999.4852256882,70530.5848235872,69200.0245742942,61207.4642639242,62740.8446884013,72766.3651504541,73196.6655501925,75514.885292065,81102.5061302357,80483.8455696066,70661.9646186678,74644.4251594582,72142.9649620171,18169.7811965941
C24:1,-0.13390078023186996,13.128912470529404,4.299881325651313,0.038115032639800546,0.13155833846640833,365.3 -> 365.3,FFA,94611.9662322935,97711.887245166,100815.946449245,97457.2673568701,92064.9861755243,95475.8470001082,95505.7469177025,91636.0060806281,96703.9467506255,95283.5466766279,110247.747459405,110996.808135978,111013.628089921,94965.3466644224,92252.4463119274,92717.666336046,20766.141502381
PC (36:3),0.13595368396210875,8.274280842354637,4.266398671974439,0.038873234835112506,0.13204559134466787,784.6 -> 184.1,PC,2904.5002250662,3126.140209198,3689.5603065472,3176.7402496346,3223.4202613826,3276.7802124024,3423.5002555839,3753.9802284255,3306.5602722162,3208.2402420047,3108.2602119439,2537.3801574698,2890.800178529,2681.8401947021,2541.9001693713,2863.2402038562,5613.9203796379
Lyso_PC(3:0),-0.13760782201147495,7.125604020616483,4.190996669863598,0.0406391986201543,0.13588732038614093,314.129 -> 184.1,PC,1427.5801086428,1504.8601112369,1415.8000984192,1361.1001014709,1259.6800880429,1559.400119781,1488.4001045235,1430.2800903323,1484.6000976568,1338.7400894164,1643.0001029973,1364.6200904844,1327.8400878908,1601.1801109309,1588.2801322937,1693.5001220708,1325.3201065063
C28:0,-0.12957010023085583,12.640117654906824,4.024217507597768,0.04485142140056316,0.14542733605637145,423.4 -> 423.4,FFA,72857.245307881,71727.9452057124,68631.8051605253,68991.7050857398,66317.7248153632,68605.7048645069,63882.5044021523,60898.5843505784,68883.3046569476,66707.9648361143,79170.6257896535,77738.4454994258,75641.0053100454,69719.0450897039,66758.4446487406,63300.9642829796,23953.0817413311
