Majority protein IDs,Protein ID,Gene names,logFC,PValue,FDR,Fold_change,C1,C2,C3,C4,C5,average_C_lfq,R1,R2,R3,R4,R5,average_R_lfq,MS/MS count C1,MS/MS count C2,MS/MS count C3,MS/MS count C4,MS/MS count C5,MS_C_average,MS/MS count R1,MS/MS count R2,MS/MS count R3,MS/MS count R4,MS/MS count R5,MS_R_average
D3ZZ21,D3ZZ21,Ndufb6,-0.188082539,0.917939303,0.999934107,0.877771577,44882000,41283000,57250000,37280000,50217000,46182400,51901000,0,37471000,41211000,69041000,39924800,9,5,9,4,5,6.4,5,2,2,2,2,2.6
D3ZZ62,D3ZZ62,Xpot,-0.123084371,0.946232972,0.999934107,0.918222462,53794000,65103000,67674000,78071000,67309000,66390200,41163000,64630000,66889000,74161000,54058000,60180200,6,9,7,11,7,8,2,8,6,10,6,6.4
D3ZZA8,D3ZZA8,Sec24a,0.236519014,0.896933381,0.999934107,1.178146555,105070000,124400000,123710000,128610000,137680000,123894000,158500000,124360000,142690000,157590000,137160000,144060000,10,20,15,21,21,17.4,19,14,19,18,13,16.6
D3ZZC1,D3ZZC1,Txndc5,0.106155295,0.953617313,0.999934107,1.07635598,391360000,442460000,366190000,471980000,422020000,418802000,413020000,437710000,559820000,388780000,422770000,444420000,35,35,27,30,25,30.4,32,36,31,24,23,29.2
D3ZZF8;A0A0G2JVP5;B2RZ22,D3ZZF8,Paip1,0.50897525,0.780864851,0.999934107,1.423039048,49638000,58433000,56563000,61723000,49833000,55238000,90825000,79822000,90951000,65091000,60878000,77513400,7,10,7,6,9,7.8,10,7,8,6,6,7.4
D3ZZM3,D3ZZM3,Cog4,0.160808731,0.929798892,0.999934107,1.117913631,0,32445000,0,35408000,0,13570600,34211000,0,0,40938000,0,15029800,0,4,0,2,2,1.6,2,0,2,2,3,1.8
D3ZZN3,D3ZZN3,Acss1,-1.356538256,0.465200005,0.999934107,0.390518214,2053400000,2631700000,2548700000,1826900000,2379600000,2288060000,1037300000,951510000,774860000,742780000,900360000,881362000,81,105,117,113,107,104.6,30,47,36,58,38,41.8
D3ZZR5;D3ZLF6,D3ZZR5,Snrpa1,-0.181002728,0.921015899,0.999934107,0.882089698,134100000,115530000,119620000,117440000,110160000,119370000,121440000,110440000,89305000,91836000,106320000,103868200,21,18,15,12,13,15.8,9,10,10,5,7,8.2
D3ZZR9,D3ZZR9,Fkbp2,-0.453264264,0.804232087,0.999934107,0.730388389,0,48912000,59015000,0,47834000,31152200,0,53710000,58440000,0,0,22430000,3,6,4,2,2,3.4,0,5,4,2,2,2.6
D3ZZV1,D3ZZV1,Pam16,0.219997361,0.904089534,0.999934107,1.164731456,19575000,0,0,0,0,3915000,22632000,0,0,0,0,4526400,2,0,2,0,0,0.8,2,0,0,0,0,0.4
D3ZZW1,D3ZZW1,Dock1,0.220046883,0.9040682,0.999934107,1.164771438,129550000,127520000,116210000,143630000,161800000,135742000,138710000,139330000,167470000,177440000,157430000,156076000,10,17,11,18,21,15.4,17,16,16,20,17,17.2
D3ZZZ9,D3ZZZ9,Ctnnd1,0.029440935,0.987128267,0.999934107,1.020616545,533350000,534930000,574060000,605620000,566380000,562868000,544390000,606270000,536280000,584830000,562360000,566826000,39,47,45,45,53,45.8,32,35,32,42,33,34.8
D4A017,D4A017,Tmem87a,0.461594466,0.800723996,0.999934107,1.377062907,0,17297000,0,13875000,20154000,10265200,18063000,16638000,18003000,17211000,0,13983000,2,4,0,2,2,2,3,2,2,3,2,2.4
D4A022,D4A022,Gapvd1,-0.229774778,0.899853444,0.999934107,0.852768008,37575000,36473000,32020000,33267000,30345000,33936000,29899000,21792000,29675000,31370000,30061000,28559400,6,7,4,3,5,5,2,5,4,6,2,3.8
D4A031,D4A031,Ddx42,0.127941981,0.944115107,0.999934107,1.092733793,88145000,105470000,114040000,116920000,135550000,112025000,102420000,127050000,129930000,122380000,122040000,120764000,7,14,8,11,12,10.4,10,9,12,17,12,12
D4A054;M0R3M4,D4A054,Ranbp2,-0.173969867,0.924073469,0.999934107,0.886400213,98168000,101670000,88448000,116410000,128920000,106723200,93699000,61523000,96656000,137680000,78085000,93528600,12,12,10,18,21,14.6,10,4,9,26,8,11.4
D4A0C3,D4A0C3,Hid1,-0.078503637,0.965688705,0.999934107,0.947039406,15110000,17577000,20447000,20598000,22822000,19310800,17437000,21778000,18904000,16795000,15306000,18044000,4,3,4,4,3,3.6,2,2,2,2,4,2.4
D4A0E2;A0A0G2K350,D4A0E2,Napg,-1.85917471,0.323883372,0.999934107,0.27563391,11438000,9918000,7899600,0,7400200,7331160,0,10007000,0,0,0,2001400,3,4,2,0,2,2.2,2,3,2,0,0,1.4
D4A0E8,D4A0E8,Prmt5,0.030496409,0.986666859,0.999934107,1.0213635,161780000,176460000,183900000,156200000,188490000,173366000,186240000,209870000,180720000,131260000,164990000,174616000,9,20,17,19,17,16.4,15,12,9,18,15,13.8
D4A0F3;A0A0G2JZR1,D4A0F3,Osbpl6,-1.630612626,0.383567643,0.999934107,0.322951041,0,0,14506000,13191000,14685000,8476400,0,0,0,13726000,0,2745200,2,0,2,2,4,2,0,0,0,2,2,0.8
D4A0H1;B0BNL5,D4A0H1,Reep3,0.902376832,0.623748103,0.999934107,1.86914285,0,14059000,0,0,0,2811800,12744000,13167000,0,0,0,5182200,0,2,0,0,0,0.4,3,3,0,0,0,1.2
D4A0H5;B5DEL2,D4A0H5,Cpsf1,-0.573776201,0.753981779,0.999934107,0.671855927,24097000,21241000,25476000,27206000,25901000,24784200,24458000,0,0,28682000,29077000,16443400,4,4,3,3,4,3.6,3,0,0,3,2,1.6
D4A0L4;F1MA18;Q62764-2;Q62764;Q3KRC7,D4A0L4,Ybx3,0.86477416,0.638065499,0.999934107,1.821054576,19166000,25342000,22272000,23500000,19966000,22049200,37906000,50425000,42536000,34700000,32457000,39604800,4,3,3,3,2,3,4,6,5,5,4,4.8
D4A0M2,D4A0M2,Nxn,1.367124665,0.461843822,0.999934107,2.579559395,32859000,38707000,36512000,41769000,32501000,36469600,79575000,84901000,100950000,94724000,103570000,92744000,8,7,7,7,9,7.6,14,17,9,10,13,12.6
D4A0T0,D4A0T0,Ndufb10,-0.395928988,0.828501533,0.999934107,0.759999836,163580000,164120000,195850000,154050000,175330000,170586000,154700000,148290000,103450000,126180000,107420000,128008000,20,13,16,13,13,15,11,12,10,10,4,9.4
D4A0T8,D4A0T8,Dhrs7,-0.575086351,0.753441905,0.999934107,0.671246073,129580000,127550000,100140000,105240000,110770000,114656000,64987000,95833000,85922000,47063000,85348000,75830600,17,12,13,8,10,12,6,10,8,4,6,6.8
D4A104,D4A104,Mrpl45,-1.121871409,0.543667374,0.999934107,0.459497396,15692000,13187000,9738800,0,11841000,10091760,11561000,0,0,0,11212000,4554600,4,4,2,0,3,2.6,2,0,0,0,2,0.8
D4A133,D4A133,Atp6v1a,-0.497098732,0.785827389,0.999934107,0.708530208,415400000,555070000,504710000,331910000,472440000,455906000,407290000,367480000,289050000,260710000,269430000,318792000,20,34,33,43,29,31.8,22,28,25,32,18,25
D4A1B2,D4A1B2,Arpin,0.080270454,0.964917374,0.999934107,1.057216213,7096000,0,8066300,0,0,3032460,15843000,0,0,0,0,3168600,2,0,2,0,0,0.8,2,2,0,0,0,0.8
D4A1B8,D4A1B8,Dctn3,0.642684117,0.725782836,0.999934107,1.561231111,23707000,22972000,24379000,23256000,0,18862800,33416000,26571000,25483000,26359000,33184000,29002600,6,4,4,2,0,3.2,4,3,3,3,5,3.6
D4A1B9;F1LQB2;P97690,D4A1B9,Smc3,-0.150655192,0.934218974,0.999934107,0.900841258,205290000,202480000,262590000,246330000,270290000,237396000,195490000,196770000,204660000,243450000,215090000,211092000,21,23,25,27,31,25.4,15,17,21,21,23,19.4
D4A1J6,D4A1J6,Ankfy1,0.078862208,0.965532102,0.999934107,1.056184744,350650000,376380000,364980000,419460000,399750000,382244000,362250000,356480000,422210000,454760000,396470000,398434000,27,27,25,40,30,29.8,25,23,26,29,23,25.2
D4A1Q9,D4A1Q9,Ttll12,0.132736306,0.942025299,0.999934107,1.096371177,206070000,241860000,257720000,223750000,245470000,234974000,282230000,282640000,233280000,219460000,252760000,254074000,18,30,20,22,22,22.4,26,26,22,26,21,24.2
D4A1U1;A0A1W2Q655,D4A1U1,Zbtb20,-0.670406678,0.714559615,0.999934107,0.628329544,177340000,170060000,212850000,208630000,201720000,194120000,102240000,138160000,99450000,143480000,118830000,120432000,20,19,20,23,23,21,8,9,6,12,7,8.4
D4A1V7;Q3T1J9,D4A1V7,Mob1b;Mob1a,0.14102836,0.938411997,0.999934107,1.102690839,30856000,25839000,33848000,31597000,27893000,30006600,39135000,32454000,28570000,27042000,35881000,32616400,6,7,4,4,5,5.2,6,5,4,5,2,4.4
D4A1X2,D4A1X2,Exosc10,-0.262633368,0.885642733,0.999934107,0.833565014,0,22424000,22393000,24440000,22731000,18397600,24949000,0,0,26823000,23868000,15128000,0,7,4,7,3,4.2,2,0,2,4,3,2.2
D4A259,D4A259,Polr2d,-0.227601131,0.900794343,0.999934107,0.854053806,0,0,6250100,0,0,1250020,5255500,0,0,0,0,1051100,0,0,2,0,0,0.4,2,0,0,0,0,0.4
D4A261,D4A261,Ctc1,-1.661936766,0.374938703,0.999934107,0.316014625,34604000,31281000,0,34145000,0,20006000,0,0,0,31717000,0,6343400,2,4,2,2,3,2.6,2,2,2,3,0,1.8
D4A264,D4A264,Zadh2,-0.095623782,0.958213544,0.999934107,0.935867516,27928000,28157000,25523000,31708000,32782000,29219600,20489000,23251000,34295000,30217000,26680000,26986400,9,7,3,5,5,5.8,4,4,5,3,2,3.6
D4A2C6,D4A2C6,Lsm4,-1.380296624,0.457690069,0.999934107,0.384139807,26345000,36402000,0,0,0,12549400,23820000,0,0,0,0,4764000,4,3,0,2,0,1.8,2,0,0,2,0,0.8
D4A2D7,D4A2D7,Ipo4,0.309278349,0.865546692,0.999934107,1.239087741,216640000,216450000,215990000,246080000,221190000,223270000,257340000,275450000,266090000,302430000,263920000,273046000,19,20,19,25,20,20.6,15,20,16,22,21,18.8
D4A2F1;P25304-3;F1LPF2;P25304-4;P25304-2;P25304-5;P25304-6;P25304,D4A2F1,Agrn,-0.428975875,0.814487229,0.999934107,0.742788881,23668000,21426000,21202000,27668000,26645000,24121800,26201000,15869000,21886000,24776000,0,17746400,3,4,3,5,7,4.4,2,2,4,4,0,2.4
D4A2G9,D4A2G9,Ranbp1,0.061899877,0.972941862,0.999934107,1.043839482,342280000,385020000,436640000,393440000,343350000,380146000,371490000,418050000,399450000,363790000,403550000,391266000,20,19,15,13,19,17.2,20,20,21,19,11,18.2
D4A2P1,D4A2P1,Ccar1,-0.511259008,0.779911812,0.999934107,0.701609891,80808000,107910000,83504000,115470000,94716000,96481600,56943000,66658000,58298000,91242000,61175000,66863200,11,15,13,16,15,14,7,10,5,12,7,8.2
D4A2Z8,D4A2Z8,Dhx36,0.070892444,0.969013153,0.999934107,1.050366234,0,0,0,0,18646000,3729200,0,0,0,19771000,0,3954200,0,3,0,3,2,1.6,0,0,0,3,0,0.6
D4A3B0;D3ZA84;D3ZT58;D3ZE09,D4A3B0,Tln2,-0.146254371,0.936135514,0.999934107,0.903593394,75095000,75927000,80191000,82373000,76018000,77920800,76862000,66516000,67519000,71621000,64878000,69479200,9,11,12,13,11,11.2,8,7,10,15,8,9.6
D4A3E1,D4A3E1,Hnrnpll,-0.347820141,0.84901931,0.999934107,0.785770471,257130000,295850000,325900000,233540000,308600000,284204000,264230000,213700000,228520000,189510000,205620000,220316000,16,23,20,22,25,21.2,18,16,17,22,16,17.8
D4A3E2,D4A3E2,Npepl1,0.040752031,0.982183845,0.999934107,1.028649889,33146000,34979000,28902000,38943000,34842000,34162400,31058000,32595000,33450000,41346000,34995000,34688800,8,10,4,8,5,7,4,5,3,5,3,4
D4A3E3,D4A3E3,Arid1a,1.104218096,0.54987793,0.999934107,2.149823315,0,417700000,0,433450000,347430000,239716000,569430000,370550000,558120000,441770000,594020000,506778000,2,3,0,2,3,2,3,3,2,6,3,3.4
D4A3E8,D4A3E8,Mrps27,-1.270106672,0.493201483,0.999934107,0.414629114,17457000,16112000,20981000,17079000,17926000,17911000,0,16758000,19819000,0,0,7315400,6,5,4,4,5,4.8,3,3,2,2,2,2.4
D4A3I4;A0A0G2K4W2,D4A3I4,Btf3l4,0.100720158,0.955989131,0.999934107,1.072308599,62709000,48676000,78670000,54471000,72070000,63319200,73833000,59329000,57490000,54845000,89090000,66917400,10,11,5,7,3,7.2,7,3,3,4,5,4.4
D4A3K5,D4A3K5,Hist1h1a,-0.442800653,0.808645323,0.999934107,0.735705023,551300000,516970000,490470000,551940000,631160000,548368000,341310000,427310000,363350000,450200000,409520000,398338000,22,22,22,19,24,21.8,16,14,14,11,13,13.6
D4A3P1,D4A3P1,Ubqln4,0.405499114,0.824435883,0.999934107,1.324547071,19297000,0,0,0,0,3859400,0,0,0,0,25036000,5007200,2,0,0,0,0,0.4,0,0,0,2,3,1
D4A3S6,D4A3S6,Mtss1l,-0.244326087,0.893555234,0.999934107,0.844210052,51820000,62180000,58722000,60571000,52066000,57071800,53851000,52478000,30513000,46123000,54596000,47512200,5,7,11,8,9,8,5,4,2,6,5,4.4
D4A3S8,D4A3S8,Nsun2,0.144536264,0.936883864,0.999934107,1.105375288,33605000,55757000,73497000,69746000,65400000,59601000,57866000,68630000,69273000,67800000,61267000,64967200,4,10,13,7,8,8.4,3,7,6,7,5,5.6
D4A3T3,D4A3T3,Cbx1,-0.214111182,0.906641536,0.999934107,0.862077106,48608000,41751000,57615000,48613000,4.60E+07,48517400,45436000,36335000,37091000,39939000,47425000,41245200,4,6,4,5,5,4.8,3,3,6,5,5,4.4
D4A3V2,D4A3V2,Ndufa6,-0.996665115,0.588598852,0.999934107,0.50115712,51404000,46930000,53010000,46902000,59159000,51481000,43353000,50834000,0,33770000,0,25591400,4,4,5,7,4,4.8,4,2,0,3,0,1.8
D4A3X0;Q7TP06,D4A3X0,Seh1l;LOC307347,-0.580328072,0.751282756,0.999934107,0.668811671,19716000,22493000,18330000,22041000,26637000,21843400,21782000,22901000,0,27907000,0,14518000,6,10,6,4,6,6.4,5,7,2,3,2,3.8
D4A3X7,D4A3X7,Snx33,-0.081462571,0.964396391,0.999934107,0.945099041,0,19539000,0,0,0,3907800,18190000,0,0,0,0,3638000,0,3,0,0,0,0.6,6,0,3,0,0,1.8
D4A401,D4A401,Tex10,-1.368397864,0.461440935,0.999934107,0.387321136,16061000,15530000,21486000,18679000,17892000,17929600,0,0,19048000,15397000,0,6889000,3,0,3,3,4,2.6,0,0,4,2,0,1.2
D4A478,D4A478,Ntpcr,-1.327629738,0.47444641,0.999934107,0.398422288,14012000,10912000,12793000,10634000,12205000,12111200,14132000,0,0,0,9539800,4734360,2,3,2,3,2,2.4,2,0,0,0,2,0.8
D4A4B4;D3ZAI0,D4A4B4,U2surp,0.067929728,0.970307444,0.999934107,1.048211417,30651000,39352000,32866000,40218000,37950000,36207400,35411000,28567000,36619000,45389000,41267000,37450600,5,6,5,7,4,5.4,3,3,2,6,3,3.4
D4A4D5;P02401;D3ZN03,D4A4D5,LOC498555;Rplp2;LOC100362751,0.030227091,0.986784592,0.999934107,1.021172854,432950000,432060000,701910000,500300000,489520000,511348000,7.12E+08,434150000,458640000,536670000,435420000,515376000,15,19,21,15,15,17,20,12,14,10,10,13.2
D4A4H5,D4A4H5,Sdf2,-0.858011364,0.640657249,0.999934107,0.551712524,15920000,0,0,19537000,0,7091400,0,19286000,0,0,0,3857200,3,2,0,2,0,1.4,0,3,0,0,0,0.6
D4A4J0,D4A4J0,Supt16h,-0.16836504,0.926511162,0.999934107,0.889850549,136970000,141570000,159120000,162920000,170590000,154234000,125610000,133440000,123770000,157660000,136940000,135484000,7,12,18,17,17,14.2,10,8,7,13,9,9.4
D4A4J3;A0A0G2JWG1,D4A4J3,Man2a2,-0.09354628,0.959120311,0.999934107,0.93721615,14697000,0,0,0,0,2939400,13673000,0,0,0,0,2734600,2,0,2,0,0,0.8,2,0,0,0,0,0.4
D4A4T0;I6L9H8,D4A4T0,Stub1,0.117497326,0.948669426,0.999934107,1.084851314,67926000,58709000,51047000,50688000,52222000,56118400,61105000,70685000,47180000,57178000,64280000,60085600,13,13,7,4,7,8.8,6,13,5,7,9,8
D4A4T9,D4A4T9,Chordc1,0.830340376,0.65131901,0.999934107,1.778104823,8904000,13559000,0,16598000,12560000,10324200,17149000,20789000,18315000,19094000,15202000,18109800,3,2,2,3,4,2.8,4,4,4,4,2,3.6
D4A4Z9,D4A4Z9,Ktn1,0.239804574,0.895511431,0.999934107,1.180832696,238320000,242790000,224760000,283830000,270240000,251988000,246510000,288600000,308110000,346720000,278860000,293760000,24,31,23,29,25,26.4,22,28,24,32,22,25.6
D4A510,D4A510,Smarcc2,0.081078224,0.964564314,0.999934107,1.057808317,157220000,163390000,170190000,180700000,187010000,171702000,157740000,155780000,182020000,197990000,202400000,179186000,10,23,18,26,24,20.2,15,15,14,24,13,16.2
D4A554,D4A554,Eif4g3,1.0059729,0.58518885,0.999934107,2.008297361,0,31800000,0,30163000,35079000,19408400,34576000,33472000,37465000,34718000,51543000,38354800,0,5,0,5,7,3.4,5,5,6,6,9,6.2
D4A565,D4A565,Ndufb5,-0.284737105,0.87610785,0.999934107,0.820891182,56650000,54174000,67177000,53087000,50522000,56322000,52805000,44129000,43185000,37526000,50235000,45576000,7,6,6,4,5,5.6,3,4,5,4,3,3.8
D4A5A6,D4A5A6,Polr2a,-0.067015196,0.970706976,0.999934107,0.954610959,34968000,32788000,35813000,39978000,39716000,36652600,30856000,31660000,34147000,39047000,36932000,34528400,7,6,5,7,10,7,5,3,2,7,4,4.2
D4A5I9,D4A5I9,Myo6,-0.476945324,0.794272189,0.999934107,0.718497318,770260000,826850000,808640000,962180000,876930000,848972000,539010000,577140000,610580000,701300000,582340000,602074000,52,66,64,80,69,66.2,31,39,39,53,31,38.6
D4A5J1,D4A5J1,Kbtbd11,-0.846554604,0.645061271,0.999934107,0.556111238,27497000,30756000,31253000,27192000,28084000,28956400,0,0,24899000,28997000,25594000,15898000,4,6,4,7,5,5.2,0,0,2,2,3,1.4
D4A5K6,D4A5K6,Zmpste24,0.030992275,0.986450089,0.999934107,1.021714612,39970000,43151000,39556000,32575000,24057000,35861800,32382000,44473000,29256000,40111000,34662000,36176800,12,12,9,4,7,8.8,7,7,3,5,4,5.2
D4A5L9;P62898,D4A5L9,LOC679794;Cycs,-0.191496231,0.916456416,0.999934107,0.875697057,122920000,128450000,150680000,114930000,119730000,127342000,115940000,107470000,98162000,104160000,124160000,109978400,11,11,10,11,9,10.4,6,10,7,7,6,7.2
D4A5R0;D3ZUZ9,D4A5R0,Ppih,-0.199961447,0.912780628,0.999934107,0.870573827,22021000,18143000,21564000,13055000,15048000,17966200,19555000,17477000,10832000,15375000,14008000,15449400,2,3,4,2,3,2.8,3,3,3,2,2,2.6
D4A631,D4A631,Arfgef1,0.664862061,0.716798462,0.999934107,1.585416681,19932000,24744000,0,25509000,28961000,19829200,28624000,32429000,31773000,29666000,32585000,31015400,2,3,2,5,7,3.8,4,8,6,8,4,6
D4A644,D4A644,Map7d1,0.288378942,0.874538828,0.999934107,1.221267252,0,25913000,29604000,21736000,25079000,20466400,24284000,21493000,22687000,28747000,25983000,24638800,0,4,3,2,5,2.8,3,3,2,4,2,2.8
D4A648;B1WBQ5;O54748,D4A648,Stk4;Stk3,0.017925964,0.9921621,0.999934107,1.012502847,16223000,0,0,0,0,3244600,6442100,0,0,10048000,0,3298020,2,0,0,0,0,0.4,2,0,2,3,0,1.4
D4A6C5,D4A6C5,Arhgap1,0.402406018,0.825749466,0.999934107,1.321710323,129180000,126640000,117880000,142700000,143130000,131906000,135820000,150960000,184680000,207330000,181700000,172098000,15,18,20,16,14,16.6,21,19,18,12,11,16.2
D4A6D9,D4A6D9,Hs1bp3,0.725573446,0.692446546,0.999934107,1.653557767,0,13390000,12143000,10466000,0,7199800,14015000,0,16742000,13563000,14166000,11697200,0,4,2,5,2,2.6,3,0,4,2,3,2.4
D4A6G6;A0A0H2UI38;P17074;F1M8C7;F1M764;D3ZGN8;D3ZSH6;F1LYF3,D4A6G6,LOC100362339;Rps19;LOC100360843;Rps19l1,0.376577957,0.836738619,0.999934107,1.298258757,352470000,296400000,439200000,346850000,277190000,342422000,479460000,403560000,393090000,4.76E+08,441300000,438682000,22,10,18,10,10,14,19,16,9,10,13,13.4
D4A6W6;P62919,D4A6W6,RGD1561333;Rpl8,-0.043531281,0.980969068,0.999934107,0.970277094,968660000,913400000,843760000,861320000,859670000,889362000,847710000,811250000,791940000,948530000,860230000,851932000,31,31,41,29,34,33.2,25,29,17,28,22,24.2
D4A6X4,D4A6X4,Acyp1,-1.647084803,0.379012371,0.999934107,0.319284671,19923000,19958000,23581000,22400000,19348000,21042000,15994000,0,0,17439000,0,6686600,3,3,4,3,2,3,2,0,0,3,0,1
D4A746,D4A746,Gmppb,0.015547125,0.993202461,0.999934107,1.010834721,14158000,13982000,0,0,12719000,8171800,0,0,14664000,13445000,12784000,8178600,3,4,0,0,2,1.8,2,0,2,3,3,2
D4A771;D3ZZN4;P04646;A0A096P6M4;F1M0T2,D4A771,LOC100362049;LOC100362338;Rpl35a,0.204965169,0.910608945,0.999934107,1.152658518,189250000,152700000,205240000,192580000,187630000,185480000,256690000,165170000,192280000,208300000,231920000,210872000,9,8,8,10,9,8.8,11,7,11,10,10,9.8
D4A772,D4A772,Dtna,-1.684287108,0.368869575,0.999934107,0.31115663,89937000,86268000,112110000,97734000,101590000,97527800,40321000,54272000,0,0,54379000,29794400,8,9,11,7,8,8.6,3,3,0,0,2,1.6
D4A781;M0RB74,D4A781,Ipo5,0.297259378,0.870715521,0.999934107,1.228807884,1426700000,1.69E+09,1602100000,1.76E+09,1.60E+09,1615960000,1830400000,1946200000,2032300000,2169900000,1819700000,1959700000,57,105,74,111,93,88,77,66,72,92,70,75.4
D4A7I6,D4A7I6,RGD1309995,0.324156,0.859158043,0.999934107,1.251931824,52293000,55467000,53372000,61827000,62848000,57161400,60740000,62800000,82017000,78798000,68763000,70623600,4,6,5,6,4,5,5,3,8,9,4,5.8
D4A7J8,D4A7J8,Prpf4,-1.592394272,0.394291506,0.999934107,0.331620645,35853000,26895000,0,0,24386000,17426800,28601000,0,0,0,0,5720200,3,4,0,0,4,2.2,4,0,3,4,0,2.2
D4A7L4,D4A7L4,Ndufb11,-1.252830139,0.498926135,0.999934107,0.419624222,47447000,44578000,42673000,43546000,38858000,43420400,51924000,37978000,0,0,0,17980400,8,6,9,8,4,7,3,2,0,0,0,1
D4A7L6,D4A7L6,Rpia,0.444553743,0.807905394,0.999934107,1.360893097,10878000,13178000,0,9821700,11911000,9157740,17452000,14212000,13688000,16410000,0,12352400,3,0,0,2,3,1.6,4,2,2,3,0,2.2
D4A7N1,D4A7N1,Chchd6,-1.408879724,0.448763711,0.999934107,0.376604012,20854000,26213000,0,21172000,0,13647800,0,25359000,0,0,0,5071800,3,2,0,3,0,1.6,0,5,0,0,2,1.4
D4A7R0,D4A7R0,Srp72,0.146448073,0.936051148,0.999934107,1.106841063,78578000,89444000,95745000,85627000,88765000,87631800,102870000,90447000,97130000,90413000,97465000,95665000,6,12,14,16,14,12.4,13,8,5,7,11,8.8
D4A7R3,D4A7R3,Nup205,-0.113817344,0.950274545,0.999934107,0.924139568,78052000,83451000,91616000,100360000,108280000,92351800,77660000,82721000,97026000,89497000,74254000,84231600,10,11,14,16,12,12.6,14,10,13,8,8,10.6
D4A7U1,D4A7U1,Zyx,0.458594937,0.801986741,0.999934107,1.374202809,39502000,40802000,41522000,50971000,47759000,44111200,50812000,65802000,65559000,57705000,59045000,59784600,3,4,3,6,4,4,7,6,9,5,6,6.6
D4A7U6,D4A7U6,Lsm3,-1.748640383,0.351800809,0.999934107,0.297582092,41767000,0,62785000,44064000,0,29723200,0,0,0,44359000,0,8871800,2,0,2,3,0,1.4,0,2,0,2,2,1.2
D4A830,D4A830,Ppa2,-0.570376203,0.755383936,0.999934107,0.673441156,64810000,64425000,54585000,55769000,60853000,60088400,36773000,50636000,44039000,27200000,40802000,39890000,16,12,9,10,5,10.4,6,6,7,3,4,5.2
D4A833,D4A833,Mrps30,-0.818525723,0.655896707,0.999934107,0.56702108,0,11148000,0,13744000,0,4978400,0,0,0,14099000,0,2819800,2,3,2,5,0,2.4,0,0,0,2,0,0.4
D4A857,D4A857,Ipo9,-0.028394728,0.987585629,0.999934107,0.980510695,312730000,367640000,362850000,392940000,379390000,363110000,326530000,359440000,369140000,376930000,324690000,351346000,15,21,23,34,27,24,18,15,14,26,16,17.8
D4A8A0,D4A8A0,Cad,0.231649688,0.899041496,0.999934107,1.174176825,374610000,341710000,337860000,384930000,379260000,363674000,393530000,386430000,441900000,509700000,377200000,421752000,39,45,34,44,47,41.8,33,27,41,43,33,35.4
D4A8D5;A0A0G2JXT8,D4A8D5,Flnb,0.488365491,0.78948321,0.999934107,1.402854604,697990000,624880000,587460000,740980000,731590000,676580000,898040000,873410000,932830000,1094400000,887320000,937200000,53,56,44,68,72,58.6,76,70,54,84,73,71.4
D4A8F2,D4A8F2,Rsu1,0.224046255,0.902335012,0.999934107,1.168004842,95987000,95393000,101120000,116540000,103480000,102504000,131170000,1.33E+08,103820000,121860000,1.01E+08,118170000,10,9,6,7,7,7.8,9,8,6,6,3,6.4
D4A8G0,D4A8G0,Lsm12,-0.737240275,0.68780899,0.999934107,0.599885774,12580000,18427000,18725000,0,15333000,13013000,19678000,0,18810000,0,0,7697600,2,2,2,0,2,1.6,4,2,2,0,0,1.6
D4A8G7,D4A8G7,Snw1,1.700179225,0.364597972,0.999934107,3.249413232,0,0,0,0,29310000,5862000,26953000,28681000,0,13163000,25533000,18866000,2,2,2,0,6,2.4,4,4,3,6,2,3.8
D4A8H3,D4A8H3,Uba6,0.44334315,0.808416337,0.999934107,1.359751625,99026000,97806000,113560000,109320000,122250000,108392400,126710000,132500000,151990000,158990000,156980000,145434000,8,17,14,19,15,14.6,16,17,18,22,11,16.8
D4A8H8;A0A0G2K472,D4A8H8,Cyfip1,-0.028868456,0.987378532,0.999934107,0.980188784,476620000,486620000,484990000,580180000,544860000,514654000,437590000,477880000,496660000,611660000,466780000,498114000,35,45,42,48,48,43.6,32,30,35,44,27,33.6
D4A8N1,D4A8N1,Dpm1,0.093704951,0.959051157,0.999934107,1.067107079,33188000,27342000,23905000,23046000,22892000,26074600,27703000,26508000,23872000,33875000,25532000,27498000,5,6,5,4,5,5,4,6,4,6,4,4.8
D4A8T3,D4A8T3,Copz1,0.185239495,0.919174616,0.999934107,1.137005706,55037000,54920000,65682000,59886000,55759000,58256800,72160000,77294000,55616000,58489000,63121000,65336000,10,7,8,8,5,7.6,5,6,3,2,5,4.2
D4A914,D4A914,Xrn2,0.13938539,0.939127811,0.999934107,1.101435788,70935000,74503000,83099000,78795000,81339000,77734200,74289000,93225000,76820000,92387000,85802000,84504600,10,11,9,10,11,10.2,3,5,8,10,7,6.6
D4A944,D4A944,Snrnp40,0.085091386,0.962811828,0.999934107,1.060754931,81582000,86314000,71512000,81442000,92902000,82750400,80189000,82265000,86410000,89573000,94620000,86611400,18,12,11,11,10,12.4,8,13,6,8,9,8.8
D4A962,D4A962,Hnrnpul1,-0.277646201,0.87916441,0.999934107,0.824935827,307390000,379570000,357820000,377960000,381930000,360934000,287300000,267180000,309300000,334930000,270820000,293906000,25,24,28,25,21,24.6,16,15,19,22,14,17.2
