lipid,logFC.cells,logCPM.cells,LR.cells,PValue.cells,FDR.cells,Transition.cells,type.cells,C1.cells,C2.cells,C3.cells,C4.cells,C5.cells,R1.cells,R2.cells,R3.cells,R4.cells,R5.cells,blank.cells,logFC.media,logCPM.media,LR.media,PValue.media,FDR.media,Transition.media,type.media,C1.media,C2.media,C3.media,C4.media,C5.media,R1.media,R2.media,R3.media,R4.media,R5.media,blank.media,blank_solvent
PC (34:1),0.471174222630872,16.31577035468037,28.530150166780253,9.225072645052488e-8,2.269972793479309e-6,760.6 -> 184.1,SM,619588.716308107,537059.76718901,902372.36169482,544655.419937111,758880.755336206,871115.011886664,831660.357147736,1047867.07173157,1085792.17950441,835196.672400812,19720.9012527401,-0.7332569135963432,13.663349050126852,63.93598327989025,1.2852851638680884e-15,1.75383002815091e-13,760.6 -> 184.1,SM,145222.991912835,143075.269462629,146897.792221076,133184.60864264,160991.070922774,92423.2067566205,77868.345336936,91141.266220156,87603.305526744,88872.646606496,13177.0810470625,3323.7402076733
PCo(38:5),-0.46820767926998386,9.104997447312474,27.611188415132748,1.4831836309275809e-7,3.5907397258424177e-6,794.6 -> 184.1,SM,6489.9203185943,5350.5403251702,7556.6605834915,5474.8003158575,5830.8804740844,4166.5202522281,3840.2602920538,5388.4804458658,5008.8402595566,3847.9402351386,1321.2001075746,-0.39976239115902534,7.5235259934875565,17.976706568083532,2.2362472199744574e-5,6.581582504277765e-4,794.6 -> 184.1,SM,1910.3801460261,1993.2001342774,1860.540130615,1334.2600898744,1609.2201080319,1310.9600868223,1202.2800750734,1351.6801071172,1474.7601165766,1242.6200981143,1432.4601058954,984.4400596618
SM (d18:0/18:0),0.46330947907565495,14.009631419866363,27.5749694866464,1.5112180141894693e-7,3.6005368877752276e-6,733.6 -> 184.1,SM,129668.31023022,105559.828022032,184351.230262789,110018.905605284,152436.112148398,176585.091892249,169625.428375187,228770.996601025,205436.451103163,162119.612228419,4077.9803314163,-0.555571166001362,11.17730449359746,36.72354771011059,1.3612519976449465e-9,8.513496868604436e-8,733.6 -> 184.1,SM,23873.1417694051,25211.6817817782,25785.9218177651,22610.6816329989,27203.581771859,18249.7813568126,15674.5609664998,18220.1811065745,16548.4610061569,16015.1810531546,1306.3200874332,1791.1001167299
PC (32:0),0.43625712631898506,15.078659195229445,24.46918859055624,7.550772945586559e-7,1.6667220869596214e-5,734.6 -> 184.1,SM,254385.059444408,261625.858406168,385848.928741322,219180.737091092,325301.284984784,354903.468158674,347142.620738973,449952.992629952,453856.117664283,355225.088066046,9339.5008163478,-0.5525186026955449,11.807616632938624,36.38593966985895,1.618667147628157e-9,9.344689956114861e-8,734.6 -> 184.1,SM,35455.7829818581,39390.9425201312,38576.7226333453,35555.0827789368,44006.3435287428,28030.1421203752,23216.5615158018,27401.0617904608,25538.7019310054,27177.321784972,1715.0001182558,2112.4201622013
SM (d16:1/24:1),0.42952640805931347,12.15558626817721,23.672883130070414,1.141800990931448e-6,2.4838308512871064e-5,785.6 -> 184.1,SM,32021.8621292175,35266.642559053,51064.7638625993,30655.8222846951,41388.8430404438,47998.8439178506,46182.5232810974,61100.0445709563,56061.0631371079,45643.4031562885,3037.2602424613,-0.856617587337332,9.234615824371375,85.23737986467759,2.6461196678181093e-20,5.674036601992831e-18,785.6 -> 184.1,SM,6478.1003723128,6685.2204818746,6256.2404556313,6036.9604873659,7040.7605247527,2957.9602203361,3464.9802169795,4171.4603691084,3789.8202552796,3529.3602066039,4371.9402961719,1069.060066223
PC (32:1),0.38878440711426565,15.387386790952293,19.449889103441468,1.0327383561641158e-5,2.066853696803117e-4,732.6 -> 184.1,SM,334865.908596041,321217.924434687,493686.223007179,275256.678024271,401693.207294436,444941.144619105,432763.671344653,550645.600462842,539627.4161387,428611.084507065,8971.8206138537,-0.6237351510778852,12.47507747601432,46.34709951899799,9.905402562249519e-12,7.82526802417712e-10,732.6 -> 184.1,SM,60772.4843444559,64033.785339274,61489.224212629,55698.584274268,70794.885269199,43652.0828628506,34968.9024886934,43530.643280026,40031.702285777,40479.422592173,2577.6401748646,1960.8001441956
SM (d18:1/24:0),0.3806785371996883,10.038410082114016,18.457418909623282,1.7374313419037214e-5,3.2196104249351674e-4,815.7 -> 184.1,SM,7344.9405517633,8489.580642705,10755.8008613605,7584.8606033269,9801.0405273333,11243.6009445116,9886.240524291,13440.7406043978,13135.0808677642,9702.8206863445,2336.7601280227,-0.2662620004030606,8.32644454951042,8.218137865993853,0.004147373669730106,0.06766530302461836,815.7 -> 184.1,SM,3307.280242921,2865.4001770018,3130.9202003474,2885.6001968371,2940.3201599131,2536.4601631142,2217.8001556392,2634.4402160635,2353.5801734934,2806.2602195742,1499.5600814811,1079.0600814819
PCo(34:2),0.353398886479691,10.77010921941704,15.981996481049727,6.394772725421696e-5,0.00110328205297218,744.6 -> 184.1,SM,13481.0208663856,11553.1607322771,19692.3411407389,12954.2609710669,17266.3811302096,17864.2414207446,17999.4808502102,23091.9418716579,19803.8013458278,17235.2814407308,1406.3800926199,-0.5528722944787912,8.313961563183552,35.24602467822878,2.905746212268218e-9,1.574166558336394e-7,744.6 -> 184.1,SM,3306.0002479551,3009.2001647944,3501.6802291877,3146.3002357483,3449.92024231,1951.2001342769,1877.8401451102,2505.1001396179,2516.2201881407,2315.0201606756,1349.7000885007,1014.4000778194
PC (36:3),0.3480951717450814,12.968360065339459,15.583706883431216,7.893182281483362e-5,0.0013311984948883738,784.6 -> 184.1,SM,61074.4444313193,64240.1848374397,90361.5663565791,55115.6240616083,75457.8459663638,84882.2853050139,78943.9455565862,99625.4872741573,100866.686935458,77393.8052826007,3258.0202445983,-1.2370878026104284,9.675278583468202,175.8488462868497,3.90699598578874e-40,5.864400974668898e-37,784.6 -> 184.1,SM,9707.3006248489,9242.7406310987,10577.0209007323,8619.6406211776,9013.9006042517,3720.1002540612,3297.0402259815,4743.8602981562,3767.5602302552,4435.5003700254,7257.7205352748,1158.6000823975
Lyso_PC(18:0),-0.33530044579373924,7.96584729037618,13.77720625441443,2.058182839147865e-4,0.0032180546266259847,524.3638 -> 184.1,SM,2177.6801452649,1872.0801429756,3800.6403083804,1777.9001350418,2141.5001564026,1839.8201522825,2013.0201454145,2176.6601333624,1578.1401100157,1733.160118103,3434.440254212,-0.3226134227428664,8.604323897696778,12.04483388441067,5.193611505270866e-4,0.010979733618889537,524.3638 -> 184.1,SM,2793.160209655,3645.2602844232,2756.6201820367,2822.1201896682,2971.4001808163,2593.9201774599,1997.8001327527,2576.2401962268,2675.4802284254,2130.3201751705,8412.5204353337,1071.3200759881
