lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,Control1,Control2,Control3,Control4,RAC1,RAC2,RAC3,RAC4,blank,blank_solvent
PG (34:0),-0.06144501026320182,7.317414494153858,0.36497691949828925,0.5457550903183135,0.9999898852101796,768.5485 -> 579.5485,PG,1179.9200782775,1074.2600822448,1069.5600738525,1181.0600852968,1060.1400718689,1144.8000755312,1054.7400779723,1050.0000762938,1135.2600784297,1081.8400840759
PG (34:1),0.023325727789040233,7.279616106446445,0.052493828878781845,0.8187792881704389,0.9999898852101796,766.5328 -> 577.5328,PG,1094.4200782775,1064.620071411,1094.4800758363,1025.4600715637,1084.6600723267,1066.2000732418,1054.9600715636,1135.1600837709,1069.7600822447,1089.4000778197
PG (34:2),-0.022559903573094606,7.460652199995894,0.049692499333352735,0.8235992140911079,0.9999898852101796,764.5172 -> 575.5172,PG,1298.4400939935001,1091.3200874329,1429.5600929262,1163.5000801092,1291.8400878905,1231.2200737001,1224.7600936889,1149.4800796509,1109.4200706485,1166.5400810241
PG (34:3),0.016587289472759312,8.460186909041472,0.027975529987676495,0.8671663642521488,0.9999898852101796,762.5015 -> 573.5015,PG,2641.1201858529,2439.6402015686,1859.3801612861,2586.6201820375,2691.8801879893,2439.5401649478,2491.880161284,2002.6001663211,2847.2401924142,1186.8800811768
PG (34:4),-0.009494891771868763,12.756353728868824,0.009567378035454155,0.9220808044053517,0.9999898852101796,760.4859 -> 571.4859,PG,49909.8629303105,44578.0239639296,39638.3228835996,57900.3038444698,47187.6236381737,48668.5829849221,48596.8638038206,45959.9229660084,49943.5638809219,1718.4201316837
PG (34:5),0.017416114674694883,10.155785204098796,0.031820478705915534,0.8584222344027549,0.9999898852101796,758.4702 -> 569.4702,PG,7892.4805870003,7393.0005531312,6087.6403541522,10168.1007576066,8679.1605262744,7892.6005020061,7903.5004959093,7402.3405303941,7857.3406372073,1055.4400596618
PG (34:6),0.007109361745470848,7.291505787033699,0.0048779087740242755,0.944319395901314,0.9999898852101796,756.4546 -> 567.4546,PG,1111.5800743104,1048.6200675965,1084.1200790405,1072.340068817,1064.0000648498,1147.3800811767,1083.6000709534,1036.0400772096,1124.3000831603,1059.5200805662
PG (36:0),-0.13563439420129322,7.613400376561771,1.812352863726364,0.1782262393220473,0.9999898852101796,796.5798 -> 607.5798,PG,1372.9001045223,1564.2201156605,1667.4001274118,1236.9600868224,1200.8400917052,1334.7200889594,1510.8201026916,1261.9800872798,1060.9600677491,1168.9200859067
PG (36:1),0.09397960094570773,7.473683592738081,0.8630410437576197,0.3528890741260935,0.9999898852101796,794.5641 -> 605.5641,PG,1124.1600875854,1166.0200881955,1284.5800895691,1267.220088959,1370.9401054383,1235.8800888059,1299.8600845343,1253.560089111,1084.1600837707,1079.5400772094
PG (36:2),-0.07315782050192327,7.338344477411879,0.5180410165130045,0.47167852691794937,0.9999898852101796,792.5485 -> 603.5485,PG,1121.8400802611,1100.0200691226,1127.6600761413,1239.3000793461,1040.9000701905,1102.0200729369,1157.2600898745,1053.8200645447,1151.0400848392,1204.7600860596
PG (36:3),-0.016259393009423126,7.323821888502047,0.025563527730870117,0.8729708899929056,0.9999898852101796,790.5328 -> 601.5328,PG,1080.9800834655,1049.0400657655,1244.1401023859,1070.820072174,1061.6400680543,1132.4000740051,1065.500072479,1127.8800735473,1160.480091095,1048.2800788877
PG (36:4),0.17407460409402814,7.534157839811881,2.9703969391996363,0.08480104446149296,0.9999898852101796,788.5172 -> 599.5172,PG,1272.780086517,1130.260082245,1204.2600822451,1322.0400810251,1287.1200904842,1328.8600807186,1637.1001129137,1296.1400871272,1081.0400695799,1070.820072174
